Date,Forecast
2024-06-15,0.93283
2024-06-16,0.93261
2024-06-17,0.93325
2024-06-18,0.93409
2024-06-19,0.93302
2024-06-20,0.93173
2024-06-21,0.93038
2024-06-22,0.93397
2024-06-23,0.93473
2024-06-24,0.93450
2024-06-25,0.93277
2024-06-26,0.93569
2024-06-27,0.93468
2024-06-28,0.93419
2024-06-29,0.93492
2024-06-30,0.93576
2024-07-01,0.93464
2024-07-02,0.93343
2024-07-03,0.93216
2024-07-04,0.93614
2024-07-05,0.93694
2024-07-06,0.93685
2024-07-07,0.93484
2024-07-08,0.93814
2024-07-09,0.93713
2024-07-10,0.93665
2024-07-11,0.93738
2024-07-12,0.93822
2024-07-13,0.93711
2024-07-14,0.93588
2024-07-15,0.93461
2024-07-16,0.93858
2024-07-17,0.93938
2024-07-18,0.93927
2024-07-19,0.93728
2024-07-20,0.94056
2024-07-21,0.93955
2024-07-22,0.93907
2024-07-23,0.93980
2024-07-24,0.94064
2024-07-25,0.93952
2024-07-26,0.93830
2024-07-27,0.93702
2024-07-28,0.94100
2024-07-29,0.94181
2024-07-30,0.94170
2024-07-31,0.93970
2024-08-01,0.94299
2024-08-02,0.94198
2024-08-03,0.94149
2024-08-04,0.94223
2024-08-05,0.94307
2024-08-06,0.94195
2024-08-07,0.94072
2024-08-08,0.93944
2024-08-09,0.94343
2024-08-10,0.94424
2024-08-11,0.94413
2024-08-12,0.94213
2024-08-13,0.94543
2024-08-14,0.94442
2024-08-15,0.94393
2024-08-16,0.94466
2024-08-17,0.94551
2024-08-18,0.94439
2024-08-19,0.94316
2024-08-20,0.94187
2024-08-21,0.94587
2024-08-22,0.94668
2024-08-23,0.94657
2024-08-24,0.94456
2024-08-25,0.94787
2024-08-26,0.94686
2024-08-27,0.94637
2024-08-28,0.94710
2024-08-29,0.94795
2024-08-30,0.94683
2024-08-31,0.94559
2024-09-01,0.94430
2024-09-02,0.94832
2024-09-03,0.94912
2024-09-04,0.94902
2024-09-05,0.94700
2024-09-06,0.95032
2024-09-07,0.94930
2024-09-08,0.94881
2024-09-09,0.94955
2024-09-10,0.95040
2024-09-11,0.94927
2024-09-12,0.94804
2024-09-13,0.94674
2024-09-14,0.95077
2024-09-15,0.95158
